iter	Passed	Remaining
864	4309	672
865	4314	667
866	4319	662
867	4324	657
868	4329	652
869	4334	647
870	4339	642
871	4344	637
872	4349	632
873	4355	627
874	4360	622
875	4365	617
876	4370	612
877	4375	607
878	4380	602
879	4384	597
880	4389	592
881	4394	587
882	4398	582
883	4403	577
884	4407	572
885	4416	568
886	4421	563
887	4425	558
888	4430	553
889	4434	548
890	4439	543
891	4444	538
892	4450	533
893	4455	528
894	4460	523
895	4465	518
896	4470	513
897	4474	508
898	4479	503
899	4483	498
900	4488	493
901	4492	488
902	4497	483
903	4502	478
904	4506	473
905	4511	468
906	4516	463
907	4520	458
908	4525	453
909	4529	448
910	4534	443
911	4539	437
912	4543	432
913	4548	427
914	4553	422
915	4558	417
916	4563	413
917	4567	408
918	4572	403
919	4577	398
920	4582	393
921	4586	388
922	4591	383
923	4596	378
924	4601	373
925	4605	368
926	4609	363
927	4614	358
928	4619	353
929	4623	348
930	4628	343
931	4633	338
932	4637	333
933	4642	328
934	4646	323
935	4652	318
936	4667	313
937	4676	309
938	4687	304
939	4696	299
940	4700	294
941	4705	289
942	4709	284
943	4714	279
944	4719	274
945	4723	269
946	4728	264
947	4733	259
948	4737	254
949	4742	249
950	4747	244
951	4752	239
952	4757	234
953	4762	229
954	4766	224
955	4771	219
956	4775	214
957	4781	209
958	4787	204
959	4792	199
960	4796	194
961	4801	189
962	4806	184
963	4811	179
964	4815	174
965	4820	169
966	4825	164
967	4830	159
968	4834	154
969	4839	149
970	4844	144
971	4849	139
972	4854	134
973	4859	129
974	4864	124
975	4868	119
976	4873	114
977	4878	109
978	4882	104
979	4886	99
980	4891	94
981	4896	89
982	4900	84
983	4905	79
984	4910	74
985	4915	69
986	4921	64
987	4926	59
988	4930	54
989	4935	49
990	4941	44
991	4946	39
992	4952	34
993	4960	29
994	4969	24
995	4978	19
996	4989	15
997	4999	10
998	5008	5
999	5013	0
